query_chr	status	assigned_ref_chr
FR990061.1	fusion	M25,M26
FR990042.1	fusion	M21,MZ
FR990047.1	fusion	M29,M8
FR990043.1	fusion	M24,M3
FR990048.1	fusion	M30,M7
FR990044.1	fusion	M11,M27
FR990045.1	fusion	M18,M19
FR990046.1	fusion	M20,M22
FR990053.1	ancestral	M5
FR990057.1	ancestral	M17
FR990051.1	ancestral	M1
FR990050.1	ancestral	M2
FR990058.1	ancestral	M13
FR990049.1	ancestral	M4
FR990059.1	ancestral	M12
FR990055.1	ancestral	M9
FR990062.1	ancestral	M15
FR990056.1	ancestral	M14
FR990054.1	ancestral	M10
FR990060.1	ancestral	M16
FR990052.1	ancestral	M6
FR990064.1	ancestral	M23
FR990063.1	ancestral	M28
