query_chr	status	assigned_ref_chr
LR990215.1	ancestral	M26
LR990192.1	ancestral	MZ
LR990194.1	ancestral	M5
LR990201.1	ancestral	M8
LR990216.1	ancestral	M24
LR990209.1	ancestral	M17
LR990193.1	ancestral	M1
LR990199.1	ancestral	M7
LR990195.1	ancestral	M3
LR990212.1	ancestral	M21
LR990196.1	ancestral	M2
LR990208.1	ancestral	M13
LR990198.1	ancestral	M4
LR990200.1	ancestral	M11
LR990202.1	ancestral	M12
LR990211.1	ancestral	M19
LR990203.1	ancestral	M9
LR990207.1	ancestral	M15
LR990204.1	ancestral	M14
LR990210.1	ancestral	M18
LR990205.1	ancestral	M10
LR990213.1	ancestral	M20
LR990206.1	ancestral	M16
LR990197.1	ancestral	M6
LR990222.1	ancestral	M30
LR990214.1	ancestral	M23
LR990218.1	ancestral	M28
LR990217.1	ancestral	M22
LR990219.1	ancestral	M29
LR990220.1	ancestral	M25
LR990221.1	ancestral	M27
