query_chr	status	assigned_ref_chr
LR989937.1	fusion	M22,M26,M3,M4,M5,M7
LR989943.1	fusion	M29,MZ
LR989935.1	fusion	M10,M11,M14,M2,M3,M5,M6,M8
LR989940.1	fusion	M1,M11,M16,M2,M24,M6
LR989939.1	fusion	M12,M15,M17,M20
LR989942.1	fusion	M1,M17,M18
LR989934.1	fusion	M13,M2,M24,M3,M6
LR989938.1	fusion	M10,M11,M19,M3,M4,M6
LR989941.1	fusion	M10,M14,M16,M17,M25,M26,M4
LR989932.1	fusion	M15,M16,M19,M2,M21,M23,M7
LR989933.1	fusion	M12,M18,M23,M28,M5,M8
LR989945.1	fusion	M19,M2
LR989936.1	fusion	M14,M20,M21,M9
LR989944.1	fusion	M10,M29,M30,M8
LR989946.1	ancestral	M27
