query_chr	status	assigned_ref_chr
FR989886.1	ancestral	M26
FR989862.1	ancestral	MZ
FR989866.1	ancestral	M5
FR989869.1	ancestral	M8
FR989884.1	ancestral	M24
FR989880.1	ancestral	M17
FR989864.1	ancestral	M1
FR989870.1	ancestral	M7
FR989863.1	ancestral	M3
FR989881.1	ancestral	M21
FR989865.1	ancestral	M2
FR989877.1	ancestral	M13
FR989867.1	ancestral	M4
FR989872.1	ancestral	M11
FR989871.1	ancestral	M12
FR989882.1	ancestral	M19
FR989876.1	ancestral	M9
FR989878.1	ancestral	M15
FR989873.1	ancestral	M14
FR989879.1	ancestral	M18
FR989875.1	ancestral	M10
FR989883.1	ancestral	M20
FR989874.1	ancestral	M16
FR989868.1	ancestral	M6
FR989891.1	ancestral	M30
FR989885.1	ancestral	M23
FR989888.1	ancestral	M28
FR989887.1	ancestral	M22
FR989889.1	ancestral	M29
FR989892.1	ancestral	M25
FR989890.1	ancestral	M27
