query_chr	status	assigned_ref_chr
CM022630.1	ancestral	M26
CM022623.1	ancestral	MZ
CM022622.1	ancestral	M5
CM022621.1	ancestral	M8
CM022628.1	ancestral	M24
CM022616.1	ancestral	M17
CM022612.1	split	M1
JAAMXH010000034.1	split	M1
JAAMXH010000030.1	split	M7
CM022608.1	split	M7
CM022603.1	ancestral	M3
CM022611.1	split	M21
JAAMXH010000037.1	split	M21
CM022613.1	ancestral	M2
CM022606.1	ancestral	M13
CM022619.1	ancestral	M4
CM022605.1	ancestral	M11
CM022620.1	ancestral	M12
JAAMXH010000033.1	split	M9
CM022614.1	split	M9
CM022607.1	ancestral	M15
CM022610.1	ancestral	M18
CM022617.1	ancestral	M10
CM022604.1	split	M20
CM025914.1	split	M20
CM022618.1	ancestral	M16
CM022609.1	ancestral	M14
CM022615.1	ancestral	M6
JAAMXH010000029.1	ancestral	M30
CM022626.1	ancestral	M23
CM022624.1	ancestral	M28
CM022627.1	ancestral	M22
CM022629.1	ancestral	M19
CM022625.1	ancestral	M29
JAAMXH010000031.1	ancestral	M25
