query_chr	status	assigned_ref_chr
LR994597.1	fusion	M25,M26
LR994579.1	fusion	M29,M8
LR994577.1	fusion	M24,M3
LR994581.1	fusion	M30,M7
LR994578.1	fusion	M11,M27
LR994580.1	fusion	M18,M19
LR994582.1	fusion	M20,M22
LR994583.1	ancestral	MZ
LR994587.1	ancestral	M5
LR994594.1	ancestral	M17
LR994585.1	ancestral	M1
LR994596.1	ancestral	M21
LR994584.1	ancestral	M2
LR994593.1	ancestral	M13
LR994599.1	split	M4
LR994601.1	split	M4
LR994589.1	ancestral	M12
LR994590.1	ancestral	M9
LR994595.1	ancestral	M15
LR994591.1	ancestral	M14
LR994588.1	ancestral	M10
LR994592.1	ancestral	M16
LR994586.1	ancestral	M6
LR994598.1	ancestral	M23
LR994600.1	ancestral	M28
