query_chr	status	assigned_ref_chr
HG995313.1	ancestral	M26
HG995286.1	ancestral	MZ
HG995296.1	ancestral	M5
HG995294.1	ancestral	M8
HG995307.1	ancestral	M24
HG995303.1	ancestral	M17
HG995287.1	ancestral	M1
HG995289.1	ancestral	M7
HG995292.1	ancestral	M3
HG995309.1	ancestral	M21
HG995288.1	ancestral	M2
HG995302.1	ancestral	M13
HG995293.1	ancestral	M4
HG995298.1	ancestral	M11
HG995297.1	ancestral	M12
HG995290.1	ancestral	M19
HG995299.1	ancestral	M9
HG995304.1	ancestral	M15
HG995300.1	ancestral	M14
HG995305.1	ancestral	M18
HG995295.1	ancestral	M10
HG995308.1	ancestral	M20
HG995301.1	ancestral	M16
HG995291.1	ancestral	M6
HG995315.1	ancestral	M30
HG995310.1	ancestral	M23
HG995312.1	ancestral	M28
HG995311.1	ancestral	M22
HG995314.1	ancestral	M29
HG995317.1	ancestral	M25
HG995316.1	ancestral	M27
