query_chr	status	assigned_ref_chr
CM029793.1	ancestral	M26
CM029776.1	ancestral	M5
CM029778.1	ancestral	M8
CM029786.1	ancestral	M24
CM029785.1	ancestral	M17
CM029767.1	ancestral	MZ
CM029775.1	ancestral	M7
CM029770.1	ancestral	M3
CM029773.1	ancestral	M21
CM029781.1	ancestral	M2
CM029787.1	ancestral	M13
CM029772.1	ancestral	M11
CM029779.1	ancestral	M4
CM029789.1	ancestral	M12
CM029780.1	ancestral	M19
CM029774.1	ancestral	M9
CM029769.1	ancestral	M15
CM029777.1	ancestral	M14
CM029791.1	ancestral	M18
CM029783.1	ancestral	M10
CM029782.1	ancestral	M20
CM029784.1	ancestral	M16
CM029788.1	ancestral	M6
CM029771.1	ancestral	M1
CM029796.1	ancestral	M30
CM029792.1	ancestral	M23
CM029797.1	ancestral	M28
CM029794.1	ancestral	M22
CM029768.1	ancestral	M29
CM029795.1	ancestral	M25
CM029790.1	ancestral	M27
