query_chr	status	assigned_ref_chr
CM026259.1	fusion	M2,M30
CM026257.1	fusion	M27,M6
CM026249.1	fusion	M23,M29
CM026234.1	ancestral	M26
CM026258.1	ancestral	MZ
CM026255.1	ancestral	M8
CM026235.1	ancestral	M24
CM026247.1	ancestral	M17
CM026256.1	ancestral	M1
CM026251.1	ancestral	M7
CM026254.1	ancestral	M3
CM026237.1	ancestral	M21
CM026239.1	ancestral	M13
CM026248.1	ancestral	M5
CM026253.1	ancestral	M4
CM026252.1	ancestral	M11
CM026250.1	ancestral	M12
CM026238.1	ancestral	M19
CM026245.1	ancestral	M9
CM026241.1	ancestral	M15
CM026246.1	ancestral	M14
CM026244.1	ancestral	M18
CM026243.1	ancestral	M10
CM026240.1	ancestral	M20
CM026242.1	ancestral	M16
CM026233.1	ancestral	M28
CM026236.1	ancestral	M22
CM026232.1	ancestral	M25
