query_chr	status	assigned_ref_chr
LR761654.1	fusion	M22,M24
LR761656.1	fusion	M20,M30
LR761670.1	ancestral	M26
LR761650.1	ancestral	MZ
LR761649.1	ancestral	M5
LR761655.1	ancestral	M8
LR761667.1	ancestral	M17
LR761648.1	ancestral	M1
LR761659.1	ancestral	M7
LR761647.1	ancestral	M3
LR761668.1	ancestral	M21
LR761651.1	ancestral	M2
LR761664.1	ancestral	M13
LR761653.1	ancestral	M4
LR761657.1	ancestral	M11
LR761658.1	ancestral	M12
LR761669.2	ancestral	M19
LR761662.1	ancestral	M9
LR761666.1	ancestral	M15
LR761661.1	ancestral	M14
LR761665.1	ancestral	M18
LR761660.1	ancestral	M10
LR761663.1	ancestral	M16
LR761652.1	ancestral	M6
LR761671.1	ancestral	M23
LR761672.1	ancestral	M28
LR761674.1	ancestral	M29
LR761675.1	ancestral	M25
LR761673.1	ancestral	M27
