query_chr	status	assigned_ref_chr
HG995320.1	fusion	M25,M26
HG995326.1	fusion	M29,M8
HG995339.1	fusion	M30,M7
HG995337.1	fusion	M20,M22
HG995342.1	fusion	M11,M27
HG995327.1	fusion	M20,M22
HG995319.1	ancestral	MZ
HG995334.1	split	M5
HG995345.1	split	M5
HG995325.1	ancestral	M8
HG995331.1	ancestral	M24
HG995356.1	split	M17
HG995352.1	split	M17
HG995328.1	split	M1
HG995348.1	split	M1
HG995323.1	ancestral	M7
HG995346.1	split	M3
HG995349.1	split	M3
HG995362.1	split	M21
HG995357.1	split	M21
HG995335.1	split	M2
HG995333.1	split	M2
HG995361.1	split	M13
HG995347.1	split	M13
HG995332.1	split	M4
HG995338.1	split	M4
HG995322.1	ancestral	M11
HG995353.1	split	M12
HG995350.1	split	M12
HG995321.1	ancestral	M18
HG995341.1	split	M9
HG995358.1	split	M9
HG995360.1	split	M15
HG995351.1	split	M15
HG995343.1	split	M14
HG995359.1	split	M14
HG995330.1	split	M10
HG995363.1	split	M10
HG995355.1	split	M16
HG995354.1	split	M16
HG995336.1	split	M6
HG995344.1	split	M6
HG995324.1	ancestral	M23
HG995329.1	ancestral	M28
HG995340.1	ancestral	M19
