query_chr	status	assigned_ref_chr
FR990012.1	fusion	M23,MZ
FR990015.1	fusion	M20,M27
FR990032.1	fusion	M28,M30
FR990036.1	ancestral	M26
FR990018.1	ancestral	M5
FR990022.1	ancestral	M8
FR990037.1	ancestral	M24
FR990031.1	ancestral	M17
FR990014.1	ancestral	M1
FR990021.1	ancestral	M7
FR990016.1	ancestral	M3
FR990034.1	ancestral	M21
FR990017.1	ancestral	M2
FR990028.1	ancestral	M13
FR990020.1	ancestral	M4
FR990024.1	ancestral	M11
FR990025.1	ancestral	M12
FR990033.1	ancestral	M19
FR990027.1	ancestral	M9
FR990030.1	ancestral	M15
FR990026.1	ancestral	M14
FR990035.1	ancestral	M18
FR990023.1	ancestral	M10
FR990029.1	ancestral	M16
FR990019.1	ancestral	M6
FR990038.1	ancestral	M22
FR990040.1	ancestral	M29
FR990039.1	ancestral	M25
