query_chr	status	assigned_ref_chr
LR991081.1	fusion	M23,MZ
LR991104.1	fusion	M27,M30
LR991095.1	fusion	M28,M29
LR991107.1	ancestral	M26
LR991086.1	ancestral	M5
LR991087.1	ancestral	M8
LR991105.1	ancestral	M24
LR991098.1	ancestral	M17
LR991083.1	ancestral	M1
LR991089.1	ancestral	M7
LR991084.1	ancestral	M3
LR991103.1	ancestral	M21
LR991082.1	ancestral	M2
LR991097.1	ancestral	M13
LR991085.1	ancestral	M4
LR991091.1	ancestral	M11
LR991090.1	ancestral	M12
LR991102.1	ancestral	M19
LR991093.1	ancestral	M9
LR991099.1	ancestral	M15
LR991096.1	ancestral	M14
LR991100.1	ancestral	M18
LR991092.1	ancestral	M10
LR991101.1	ancestral	M20
LR991094.1	ancestral	M16
LR991088.1	ancestral	M6
LR991106.1	ancestral	M22
LR991108.1	ancestral	M25
