query_chr	status	assigned_ref_chr
CM021694.1	ancestral	M26
CM021665.1	ancestral	MZ
CM021673.1	ancestral	M5
CM021671.1	ancestral	M8
CM021688.1	ancestral	M24
CM021672.1	ancestral	M17
CM021666.1	ancestral	M1
CM021675.1	ancestral	M7
CM021682.1	ancestral	M3
CM021689.1	ancestral	M21
CM021668.1	ancestral	M2
CM021683.1	ancestral	M13
CM021669.1	ancestral	M4
CM021677.1	ancestral	M11
CM021679.1	ancestral	M19
CM021676.1	ancestral	M9
CM021680.1	ancestral	M15
CM021681.1	ancestral	M14
CM021685.1	ancestral	M18
CM021670.1	ancestral	M10
CM021684.1	ancestral	M20
CM021686.1	ancestral	M12
CM021674.1	ancestral	M16
CM021667.1	ancestral	M6
CM021678.1	ancestral	M23
CM021687.1	ancestral	M28
CM021693.1	ancestral	M30
CM021691.1	ancestral	M22
CM021692.1	ancestral	M29
CM021690.1	ancestral	M27
CM021695.1	ancestral	M25
