query_chr	status	assigned_ref_chr
OU015611.1	ancestral	M26
OU015585.1	ancestral	MZ
OU015591.1	ancestral	M5
OU015594.1	ancestral	M8
OU015609.1	ancestral	M24
OU015601.1	ancestral	M17
OU015587.1	ancestral	M1
OU015593.1	ancestral	M7
OU015586.1	ancestral	M3
OU015605.1	ancestral	M21
OU015588.1	ancestral	M2
OU015602.1	ancestral	M13
OU015590.1	ancestral	M4
OU015595.1	ancestral	M11
OU015592.1	ancestral	M12
OU015603.1	ancestral	M19
OU015597.1	ancestral	M9
OU015600.1	ancestral	M15
OU015604.1	ancestral	M18
OU015598.1	ancestral	M14
OU015596.1	ancestral	M10
OU015606.1	ancestral	M20
OU015599.1	ancestral	M16
OU015589.1	ancestral	M6
OU015613.1	ancestral	M30
OU015608.1	ancestral	M23
OU015610.1	ancestral	M28
OU015607.1	ancestral	M22
OU015612.1	ancestral	M29
OU015615.1	ancestral	M25
OU015614.1	ancestral	M27
