query_chr	status	assigned_ref_chr
HG992305.1	fusion	M30,MZ
HG992330.1	ancestral	M26
HG992308.1	ancestral	M5
HG992311.1	ancestral	M8
HG992329.1	ancestral	M24
HG992322.1	ancestral	M17
HG992306.1	ancestral	M1
HG992313.1	ancestral	M7
HG992307.1	ancestral	M3
HG992324.1	ancestral	M21
HG992312.1	ancestral	M2
HG992321.1	ancestral	M13
HG992310.1	ancestral	M4
HG992315.1	ancestral	M11
HG992314.1	ancestral	M12
HG992326.1	ancestral	M19
HG992318.1	ancestral	M9
HG992317.1	ancestral	M14
HG992323.1	ancestral	M18
HG992316.1	ancestral	M10
HG992325.1	ancestral	M20
HG992319.1	ancestral	M16
HG992320.1	ancestral	M15
HG992309.1	ancestral	M6
HG992327.1	ancestral	M23
HG992331.1	ancestral	M28
HG992328.1	ancestral	M22
HG992333.1	ancestral	M29
HG992332.1	ancestral	M25
HG992334.1	ancestral	M27
