query_chr	status	assigned_ref_chr
CM008395.1	ancestral	M26
CM008405.1	ancestral	M5
CM008398.1	ancestral	M8
CM008403.1	ancestral	M24
CM008392.1	ancestral	M17
CM008407.1	ancestral	M1
CM008412.1	ancestral	M7
CM008406.1	ancestral	M3
CM008422.1	ancestral	MZ
CM008399.1	ancestral	M21
CM008393.1	ancestral	M2
CM008411.1	ancestral	M13
CM008418.1	ancestral	M4
CM008413.1	ancestral	M11
CM008416.1	ancestral	M12
CM008409.1	ancestral	M19
CM008397.1	ancestral	M9
CM008408.1	ancestral	M15
CM008419.1	ancestral	M14
CM008402.1	ancestral	M18
CM008420.1	ancestral	M10
CM008421.1	ancestral	M20
CM008414.1	ancestral	M16
CM008400.1	ancestral	M6
CM008410.1	ancestral	M30
CM008415.1	ancestral	M23
CM008417.1	ancestral	M28
CM008396.1	ancestral	M22
CM008401.1	ancestral	M29
CM008394.1	ancestral	M25
CM008404.1	ancestral	M27
