query_chr	status	assigned_ref_chr
FR990066.1	fusion	M21,M23
FR990086.1	fusion	M29,M30
FR990091.1	ancestral	M26
FR990067.1	ancestral	MZ
FR990071.1	ancestral	M5
FR990073.1	ancestral	M8
FR990089.1	ancestral	M24
FR990087.1	ancestral	M17
FR990070.1	ancestral	M1
FR990075.1	ancestral	M7
FR990069.1	ancestral	M3
FR990068.1	ancestral	M2
FR990083.1	ancestral	M13
FR990072.1	ancestral	M4
FR990077.1	ancestral	M11
FR990078.1	ancestral	M12
FR990082.1	ancestral	M19
FR990080.1	ancestral	M9
FR990084.1	ancestral	M15
FR990079.1	ancestral	M14
FR990085.1	ancestral	M18
FR990076.1	ancestral	M10
FR990088.1	ancestral	M20
FR990081.1	ancestral	M16
FR990074.1	ancestral	M6
FR990092.1	ancestral	M28
FR990090.1	ancestral	M22
FR990093.1	ancestral	M25
FR990094.1	ancestral	M27
