query_chr	status	assigned_ref_chr
LR991052.1	fusion	M2,MZ
LR991053.1	fusion	M21,M8
LR991054.1	fusion	M11,M22
LR991075.1	ancestral	M26
LR991060.1	ancestral	M5
LR991073.1	ancestral	M24
LR991069.1	ancestral	M17
LR991057.1	ancestral	M1
LR991059.1	ancestral	M7
LR991056.1	ancestral	M3
LR991067.1	ancestral	M13
LR991055.1	ancestral	M4
LR991065.1	ancestral	M12
LR991063.1	ancestral	M19
LR991062.1	ancestral	M9
LR991066.1	ancestral	M15
LR991064.1	ancestral	M14
LR991070.1	ancestral	M18
LR991061.1	ancestral	M10
LR991071.1	ancestral	M20
LR991068.1	ancestral	M16
LR991058.1	ancestral	M6
LR991079.1	ancestral	M30
LR991072.1	ancestral	M23
LR991074.1	ancestral	M28
LR991077.1	ancestral	M29
LR991076.1	ancestral	M27
LR991078.1	ancestral	M25
