query_chr	status	assigned_ref_chr
OU015432.1	fusion	M27,M6
OU015441.1	fusion	M23,M29
OU015456.1	ancestral	M26
OU015431.1	ancestral	MZ
OU015436.1	ancestral	M5
OU015437.1	ancestral	M8
OU015455.1	ancestral	M24
OU015449.1	ancestral	M17
OU015433.1	ancestral	M1
OU015439.1	ancestral	M7
OU015435.1	ancestral	M3
OU015453.1	ancestral	M21
OU015434.1	ancestral	M2
OU015447.1	ancestral	M13
OU015438.1	ancestral	M4
OU015443.1	ancestral	M11
OU015442.1	ancestral	M12
OU015452.1	ancestral	M19
OU015446.1	ancestral	M9
OU015448.1	ancestral	M15
OU015445.1	ancestral	M14
OU015450.1	ancestral	M18
OU015440.1	ancestral	M10
OU015451.1	ancestral	M20
OU015444.1	ancestral	M16
OU015458.1	ancestral	M30
OU015457.1	ancestral	M28
OU015454.1	ancestral	M22
OU015459.1	ancestral	M25
