query_chr	status	assigned_ref_chr
OU026083.1	fusion	M25,MZ
OU026108.1	ancestral	M26
OU026087.1	ancestral	M5
OU026088.1	ancestral	M8
OU026107.1	ancestral	M24
OU026101.1	ancestral	M17
OU026085.1	ancestral	M1
OU026091.1	ancestral	M7
OU026086.1	ancestral	M3
OU026102.1	ancestral	M21
OU026084.1	ancestral	M2
OU026097.1	ancestral	M13
OU026089.1	ancestral	M4
OU026094.1	ancestral	M11
OU026092.1	ancestral	M12
OU026103.1	ancestral	M19
OU026099.1	ancestral	M9
OU026098.1	ancestral	M15
OU026095.1	ancestral	M14
OU026100.1	ancestral	M18
OU026093.1	ancestral	M10
OU026104.1	ancestral	M20
OU026096.1	ancestral	M16
OU026090.1	ancestral	M6
OU026111.1	ancestral	M30
OU026105.1	ancestral	M23
OU026109.1	ancestral	M28
OU026106.1	ancestral	M22
OU026110.1	ancestral	M29
OU026112.1	ancestral	M27
