query_chr	status	assigned_ref_chr
CM022527.1	fusion	M12,M30
CM022550.1	ancestral	M26
CM022533.1	ancestral	MZ
CM022537.1	ancestral	M5
CM022538.1	ancestral	M8
CM022544.1	ancestral	M17
CM022528.1	ancestral	M1
CM022530.1	ancestral	M7
CM022536.1	ancestral	M3
CM022547.1	ancestral	M21
CM022531.1	ancestral	M2
CM022541.1	ancestral	M13
CM022529.1	ancestral	M4
CM022535.1	ancestral	M11
CM022546.1	ancestral	M19
CM022532.1	ancestral	M9
CM022543.1	ancestral	M15
CM022540.1	ancestral	M14
CM022545.1	ancestral	M18
CM022539.1	ancestral	M10
CM022548.1	ancestral	M20
CM022542.1	ancestral	M16
CM022534.1	ancestral	M6
CM022549.1	ancestral	M23
CM022553.1	ancestral	M28
CM022551.1	ancestral	M22
CM022552.1	ancestral	M24
CM022554.1	ancestral	M29
CM022556.1	ancestral	M25
CM022555.1	ancestral	M27
