query_chr	status	assigned_ref_chr
LR990039.1	fusion	M21,MZ
LR990062.1	ancestral	M26
LR990052.1	ancestral	M5
LR990041.1	ancestral	M8
LR990063.1	ancestral	M24
LR990058.1	ancestral	M17
LR990049.1	ancestral	M1
LR990051.1	ancestral	M7
LR990043.1	ancestral	M3
LR990046.1	ancestral	M2
LR990053.1	ancestral	M13
LR990050.1	ancestral	M4
LR990040.1	ancestral	M11
LR990054.1	ancestral	M12
LR990047.1	ancestral	M19
LR990045.1	ancestral	M9
LR990055.1	ancestral	M15
LR990057.1	ancestral	M14
LR990059.1	ancestral	M18
LR990048.1	ancestral	M10
LR990056.1	ancestral	M20
LR990044.1	ancestral	M16
LR990042.1	ancestral	M6
LR990068.1	ancestral	M30
LR990061.1	ancestral	M23
LR990064.1	ancestral	M28
LR990060.1	ancestral	M22
LR990067.1	ancestral	M29
LR990065.1	ancestral	M25
LR990066.1	ancestral	M27
