query_chr	status	assigned_ref_chr
HG991984.1	ancestral	M26
HG991958.1	ancestral	MZ
HG991962.1	ancestral	M5
HG991966.1	ancestral	M8
HG991980.1	ancestral	M24
HG991975.1	ancestral	M17
HG991959.1	ancestral	M1
HG991965.1	ancestral	M7
HG991961.1	ancestral	M3
HG991978.1	ancestral	M21
HG991960.1	ancestral	M2
HG991974.1	ancestral	M13
HG991963.1	ancestral	M4
HG991968.1	ancestral	M11
HG991971.1	ancestral	M12
HG991979.1	ancestral	M19
HG991970.1	ancestral	M9
HG991973.1	ancestral	M15
HG991967.1	ancestral	M14
HG991976.1	ancestral	M18
HG991969.1	ancestral	M10
HG991977.1	ancestral	M20
HG991972.1	ancestral	M16
HG991964.1	ancestral	M6
HG991987.1	ancestral	M30
HG991982.1	ancestral	M23
HG991985.1	ancestral	M28
HG991983.1	ancestral	M22
HG991986.1	ancestral	M29
HG991988.1	ancestral	M25
HG991981.1	ancestral	M27
